,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,MLS#,LATITUDE,LONGITUDE,FILENAME,COLLECTION,NEIGHBORHOOD
10615,2018-03-02,Condo/Co-op,23300 Sesame St Unit C,Torrance,CA,90502.0,222000,0.0,1.0,415.0,313202.0,1973.0,694.0,535.0,246.0,18-301630,33.814806,-118.288335,carson_condos.csv,1,Carson
16577,2019-08-14,Condo/Co-op,23304 Marigold Ave Unit X103,Torrance,CA,90502.0,360000,2.0,2.0,859.0,209768.0,1973.0,176.0,419.0,343.0,SB19133341,33.813744,-118.2949,torrance_condos-0_to_500K.csv,2,Torrance
10641,2019-08-14,Condo/Co-op,23304 Marigold Ave Unit X103,Torrance,CA,90502.0,360000,2.0,2.0,859.0,209768.0,1973.0,164.0,419.0,343.0,SB19133341,33.813744,-118.2949,carson_condos.csv,1,Carson
10686,2018-09-28,Condo/Co-op,23304 Marigold Ave Unit X203,Torrance,CA,90502.0,349500,2.0,2.0,859.0,209768.0,1973.0,484.0,407.0,326.0,TR18180991,33.813744,-118.2949,carson_condos.csv,1,Carson
16489,2018-09-28,Condo/Co-op,23304 Marigold Ave Unit X203,Torrance,CA,90502.0,349500,2.0,2.0,859.0,209768.0,1973.0,496.0,407.0,326.0,TR18180991,33.813744,-118.2949,torrance_condos-0_to_500K.csv,2,Torrance
16538,2019-10-16,Condo/Co-op,23304 Sesame St Unit J,Torrance,CA,90502.0,282000,1.0,1.0,639.0,296172.0,1973.0,113.0,441.0,275.0,SB19150092,33.813339899999995,-118.28849879999999,torrance_condos-0_to_500K.csv,2,Torrance
10734,2019-10-16,Condo/Co-op,23304 Sesame St Unit J,Torrance,CA,90502.0,282000,1.0,1.0,639.0,296172.0,1973.0,101.0,441.0,275.0,SB19150092,33.813339899999995,-118.28849879999999,carson_condos.csv,1,Carson
10735,2020-01-16,Condo/Co-op,23306 Marigold Ave Unit W101,Torrance,CA,90502.0,375000,2.0,1.75,859.0,209768.0,1973.0,9.0,437.0,342.0,PW19254307,33.813744,-118.2949,carson_condos.csv,1,Carson
16711,2020-01-16,Condo/Co-op,23306 Marigold Ave Unit W101,Torrance,CA,90502.0,375000,2.0,1.75,859.0,209768.0,1973.0,21.0,437.0,342.0,PW19254307,33.813744,-118.2949,torrance_condos-0_to_500K.csv,2,Torrance
10464,2018-07-09,Condo/Co-op,23308 Sesame St Unit G,Torrance,CA,90502.0,320000,2.0,2.0,829.0,296172.0,1973.0,565.0,386.0,300.0,SB18123196,33.812395,-118.288634,carson_condos.csv,1,Carson
