SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,PRICE,ZIP OR POSTAL CODE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,MLS#,LATITUDE,LONGITUDE,NEIGHBORHOOD
2018-06-22,Single Family Residential,15309 Purche Ave,Gardena,670710,90249,4.0,2.0,1282.0,5351.0,1940,582.0,523.0,0.0,SB18114610,33.89211629999999,-118.3207845,Gardena
2018-07-25,Single Family Residential,1541 Marine Ave,Gardena,532500,90247,3.0,1.0,992.0,5757.0,1944,549.0,537.0,0.0,WS18076284,33.8948529,-118.3040248,Gardena
2018-10-04,Single Family Residential,1305 Marine Ave,Gardena,515000,90247,3.0,1.25,1708.0,7315.0,1938,478.0,302.0,0.0,SB18218946,33.8947875,-118.29849879999999,Gardena
2019-11-13,Single Family Residential,14316 Halldale Ave,Gardena,535000,90247,3.0,1.0,969.0,9459.0,1924,73.0,552.0,0.0,SB19222778,33.9014059,-118.30233500000001,Gardena
2019-08-16,Single Family Residential,2802 W 156Th St,Gardena,575000,90249,2.0,1.0,884.0,6301.0,1941,162.0,650.0,0.0,SB19079619,33.889028100000004,-118.324449,Gardena
2019-11-22,Single Family Residential,13808 S Catalina Ave,Gardena,585000,90247,3.0,2.0,1378.0,5275.0,1956,64.0,425.0,0.0,SB19200414,33.906048999999996,-118.29486100000001,Gardena
2019-12-06,Single Family Residential,1145 W 149Th St,Gardena,630000,90247,3.0,1.75,1440.0,5169.0,1953,50.0,438.0,0.0,SR19248517,33.896328499999996,-118.2952105,Gardena
2018-05-10,Single Family Residential,14100 Van Buren Ct,Gardena,650000,90247,4.0,3.0,1722.0,7442.0,1987,625.0,377.0,0.0,RS18039848,33.9032943,-118.29688259999999,Gardena
2018-04-27,Single Family Residential,13621 Casimir Ave,Gardena,625000,90249,4.0,3.0,1732.0,5299.0,1956,638.0,361.0,0.0,SB17178056,33.9073799,-118.32256540000002,Gardena
2018-04-20,Single Family Residential,15894 Pacific Ln,Gardena,705000,90501,3.0,2.5,1895.0,4029.0,2001,645.0,372.0,200.0,SB18058070,33.886396269420445,-118.3189388465576,Gardena
2018-05-24,Single Family Residential,2702 Marine Ave,Gardena,530000,90249,3.0,1.75,1257.0,6507.0,1943,611.0,422.0,0.0,SB18101566,33.8944151,-118.323296,Gardena
2018-11-27,Single Family Residential,14867 Dublin Ave,Gardena,579000,90249,3.0,2.0,1237.0,5007.0,1944,424.0,468.0,0.0,18-379408,33.896744,-118.322474,Gardena
2019-03-07,Single Family Residential,14715 Van Buren Ave,Gardena,585000,90247,4.0,2.0,1581.0,8402.0,1955,324.0,370.0,0.0,OC18279028,33.8977489,-118.2974712,Gardena
2019-08-06,Single Family Residential,13123 S Wilkie Ave,Gardena,579000,90249,3.0,2.0,1291.0,5762.0,1955,172.0,448.0,0.0,19-453786,33.9128297,-118.3232047,Gardena
2018-03-20,Single Family Residential,14111 S Mariposa Ave,Gardena,550000,90247,3.0,2.0,1306.0,5645.0,1956,676.0,421.0,0.0,CV18026966,33.90320560000001,-118.29977749999999,Gardena
2018-08-31,Single Family Residential,1426 W 139Th St,Gardena,535000,90249,3.0,1.75,1360.0,8136.0,1939,512.0,393.0,0.0,DW18106670,33.9053145,-118.30128459999999,Gardena
2018-02-12,Single Family Residential,2911 W 135Th Pl,Gardena,576500,90249,3.0,1.75,1282.0,5539.0,1957,712.0,450.0,0.0,WS17265840,33.9089734,-118.3245289,Gardena
2018-04-26,Single Family Residential,13107 Cimarron Ave,Gardena,590000,90249,3.0,2.0,1116.0,5100.0,1955,639.0,529.0,0.0,CV18066280,33.9133985,-118.31530459999999,Gardena
2019-05-21,Single Family Residential,15228 S Wilkie Ave,Gardena,576000,90249,2.0,1.0,1064.0,5350.0,1942,249.0,541.0,0.0,SB19040684,33.8929811,-118.32297720000001,Gardena
2019-07-25,Single Family Residential,13020 Ardath Ave,Gardena,685000,90249,3.0,2.0,1549.0,5300.0,1955,184.0,442.0,0.0,DW19103480,33.9140033,-118.32347859999999,Gardena
2019-07-31,Single Family Residential,1923 W 129Th St,Gardena,520000,90249,3.0,2.0,1587.0,7211.0,1955,178.0,328.0,0.0,SB19150492,33.9155071,-118.31247330000001,Gardena
2019-08-09,Single Family Residential,2310 W 156Th St,Gardena,525000,90249,2.0,1.0,1090.0,6326.0,1943,169.0,482.0,0.0,SB19150004,33.8890185,-118.31926609999998,Gardena
2019-08-23,Single Family Residential,12918 S Budlong Ave,Gardena,510000,90247,3.0,2.0,1410.0,6484.0,1950,155.0,362.0,0.0,SB19155906,33.9153313,-118.2961953,Gardena
2019-10-01,Single Family Residential,13632 S Catalina Ave,Gardena,465777,90247,3.0,1.0,952.0,5150.0,1952,116.0,489.0,0.0,SB19203335,33.90733770000001,-118.29493640000001,Gardena
2019-10-04,Single Family Residential,15611 S Saint Andrews Pl,Gardena,615000,90249,3.0,1.5,1078.0,5806.0,1951,113.0,571.0,0.0,SB19189248,33.8888239,-118.311971,Gardena
2020-01-07,Single Family Residential,2920 W 129Th St,Gardena,570000,90249,3.0,2.0,1312.0,5731.0,1955,18.0,434.0,0.0,IN19227169,33.9151666,-118.3247572,Gardena
2019-10-07,Single Family Residential,2040 W 154Th St,Gardena,749000,90249,4.0,1.75,1523.0,5354.0,1951,110.0,492.0,0.0,SB19198684,33.8917312,-118.31525900000001,Gardena
