,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,MLS#,LATITUDE,LONGITUDE,FILENAME,COLLECTION,NEIGHBORHOOD
13023,2018-08-28,Townhouse,105 S Prospect Ave Unit B,Redondo Beach,CA,90277.0,1229000,4.0,2.5,2249.0,6412.0,2012.0,527.0,546.0,0.0,SB18121161,33.842183299999995,-118.3769034,torrance_townhome-600K_plus.csv,2,Torrance
12614,2018-08-28,Townhouse,105 S Prospect Ave Unit B,Redondo Beach,CA,90277.0,1229000,4.0,2.5,2249.0,6412.0,2012.0,527.0,546.0,0.0,SB18121161,33.842183299999995,-118.3769034,redondo_townhome-4plus_beds.csv,2,Redondo Beach
2940,2019-04-25,Single Family Residential,1051 W 226Th St,Torrance,CA,90502.0,550000,3.0,1.0,1160.0,5712.0,1954.0,275.0,474.0,0.0,PV19056841,33.820642799999995,-118.2936009,carson_sfh_450_to_540K.csv,1,Carson
2184,2019-04-25,Single Family Residential,1051 W 226Th St,Torrance,CA,90502.0,550000,3.0,1.0,1160.0,5712.0,1954.0,275.0,474.0,0.0,PV19056841,33.820642799999995,-118.2936009,carson_sfh_550_to_600K.csv,1,Carson
6030,2018-12-12,Single Family Residential,10521 Condon Ave,Inglewood,CA,90304.0,689000,3.0,2.0,1583.0,9153.0,1941.0,406.0,435.0,0.0,IG18258283,33.940443,-118.35946299999999,inglewood_04_sfh_3_beds.csv,1,Inglewood
4993,2018-12-12,Single Family Residential,10521 Condon Ave,Inglewood,CA,90304.0,689000,3.0,2.0,1583.0,9153.0,1941.0,406.0,435.0,0.0,IG18258283,33.940443,-118.35946299999999,lennox.csv,1,Lennox
5060,2018-04-12,Townhouse,10614 Firmona Ave,Inglewood,CA,90304.0,885000,6.0,4.0,2860.0,10281.0,2003.0,650.0,309.0,0.0,PW18045958,33.939568900000005,-118.356742,lennox.csv,1,Lennox
8972,2018-04-12,Townhouse,10614 Firmona Ave,Inglewood,CA,90304.0,885000,6.0,4.0,2860.0,10281.0,2003.0,650.0,309.0,0.0,PW18045958,33.939568900000005,-118.356742,inglewood_01_noSFH_nocondo.csv,1,Inglewood
5801,2018-12-28,Single Family Residential,10619 Felton Ave,Inglewood,CA,90304.0,353325,3.0,1.0,900.0,5450.0,1948.0,390.0,393.0,0.0,18-384700,33.9394154,-118.3658949,inglewood_04_sfh_3_beds.csv,1,Inglewood
5003,2018-12-28,Single Family Residential,10619 Felton Ave,Inglewood,CA,90304.0,353325,3.0,1.0,900.0,5450.0,1948.0,390.0,393.0,0.0,18-384700,33.9394154,-118.3658949,lennox.csv,1,Lennox
5025,2018-02-21,Townhouse,10625 Felton Ave,Lennox,CA,90304.0,465000,2.0,2.0,916.0,5677.0,1924.0,700.0,508.0,0.0,SB17267979,33.939277000000004,-118.365976,lennox.csv,1,Lennox
8862,2018-02-21,Townhouse,10625 Felton Ave,Lennox,CA,90304.0,465000,2.0,2.0,916.0,5677.0,1924.0,700.0,508.0,0.0,SB17267979,33.939277000000004,-118.365976,inglewood_01_noSFH_nocondo.csv,1,Inglewood
15982,2019-06-28,Single Family Residential,1065 Avenue B,Redondo Beach,CA,90277.0,2100000,4.0,4.25,3223.0,6361.0,2014.0,223.0,652.0,0.0,SB19049792,33.8261153,-118.374523,redondo_sfh-4_plus_beds.csv,2,Redondo Beach
13587,2019-06-28,Single Family Residential,1065 Avenue B,Redondo Beach,CA,90277.0,2100000,4.0,4.25,3223.0,6361.0,2014.0,223.0,652.0,0.0,SB19049792,33.8261153,-118.374523,torrance_sfh-4beds-900K-plus.csv,2,Torrance
3628,2018-12-24,Mobile/Manufactured Home,1065 W Lomita Blvd #118,Harbor City,CA,90710.0,160000,3.0,2.0,1620.0,79801.5,2004.0,397.0,99.0,0.0,SB18264620,33.7978467,-118.29453020000001,carson_nosfh_nocondo.csv,1,Carson
6712,2018-12-24,Mobile/Manufactured Home,1065 W Lomita Blvd #118,Harbor City,CA,90710.0,160000,3.0,2.0,1620.0,79801.5,2004.0,397.0,99.0,0.0,SB18264620,33.7978467,-118.29453020000001,harbor-city_0_to_3_beds.csv,1,Harbor City
3534,2019-05-15,Mobile/Manufactured Home,1065 W Lomita Blvd #150,Harbor City,CA,90710.0,185000,3.0,2.0,1500.0,79801.5,2006.0,255.0,123.0,0.0,PW19009467,33.797838899999995,-118.2927639,carson_nosfh_nocondo.csv,1,Carson
6659,2019-05-15,Mobile/Manufactured Home,1065 W Lomita Blvd #150,Harbor City,CA,90710.0,185000,3.0,2.0,1500.0,79801.5,2006.0,255.0,123.0,0.0,PW19009467,33.797838899999995,-118.2927639,harbor-city_0_to_3_beds.csv,1,Harbor City
6753,2019-12-12,Mobile/Manufactured Home,1065 W Lomita Blvd #161,Harbor City,CA,90710.0,205000,3.0,2.0,1726.0,79801.5,2000.0,44.0,119.0,0.0,SB19242164,33.797838899999995,-118.2927639,harbor-city_0_to_3_beds.csv,1,Harbor City
3710,2019-12-12,Mobile/Manufactured Home,1065 W Lomita Blvd #161,Harbor City,CA,90710.0,205000,3.0,2.0,1726.0,79801.5,2000.0,44.0,119.0,0.0,SB19242164,33.797838899999995,-118.2927639,carson_nosfh_nocondo.csv,1,Carson
3738,2019-06-14,Mobile/Manufactured Home,1065 W Lomita Blvd #19,Harbor City,CA,90710.0,120000,2.0,1.75,1300.0,79801.5,1999.0,225.0,92.0,0.0,SB19067043,33.797838899999995,-118.2927639,carson_nosfh_nocondo.csv,1,Carson
6660,2019-06-14,Mobile/Manufactured Home,1065 W Lomita Blvd #19,Harbor City,CA,90710.0,120000,2.0,1.75,1300.0,79801.5,1999.0,225.0,92.0,0.0,SB19067043,33.797838899999995,-118.2927639,harbor-city_0_to_3_beds.csv,1,Harbor City
6661,2019-09-13,Mobile/Manufactured Home,1065 W Lomita Blvd #243,Harbor City,CA,90710.0,135000,2.0,2.0,1344.0,79801.5,1973.0,134.0,100.0,0.0,SB19113017,33.797838899999995,-118.2927639,harbor-city_0_to_3_beds.csv,1,Harbor City
3507,2019-09-13,Mobile/Manufactured Home,1065 W Lomita Blvd #243,Harbor City,CA,90710.0,135000,2.0,2.0,1344.0,79801.5,1973.0,134.0,100.0,0.0,SB19113017,33.797838899999995,-118.2927639,carson_nosfh_nocondo.csv,1,Carson
951,2018-02-23,Single Family Residential,10836 Firmona Ave,Lennox,CA,90304.0,359000,1.0,1.0,451.0,1560.0,1938.0,698.0,796.0,0.0,17-298440,33.9370766,-118.3567881,inglewood_03_sfh_2_beds_or_less.csv,1,Inglewood
5011,2018-02-23,Single Family Residential,10836 Firmona Ave,Lennox,CA,90304.0,359000,1.0,1.0,451.0,1560.0,1938.0,698.0,796.0,0.0,17-298440,33.9370766,-118.3567881,lennox.csv,1,Lennox
3805,2019-04-15,Single Family Residential,10907 Larch Ave,Inglewood,CA,90304.0,660000,4.0,3.0,2015.0,4503.0,1970.0,282.0,328.0,0.0,CV18237190,33.9368604,-118.35064640000002,inglewood_05_sfh_4_plus_beds.csv,1,Inglewood
4996,2019-04-15,Single Family Residential,10907 Larch Ave,Inglewood,CA,90304.0,660000,4.0,3.0,2015.0,4503.0,1970.0,282.0,328.0,0.0,CV18237190,33.9368604,-118.35064640000002,lennox.csv,1,Lennox
5923,2018-06-22,Single Family Residential,10927 Eastwood Ave,Inglewood,CA,90304.0,610000,3.0,2.0,1176.0,6160.0,1940.0,579.0,519.0,0.0,SB18121000,33.9363217,-118.3473933,inglewood_04_sfh_3_beds.csv,1,Inglewood
5043,2018-06-22,Single Family Residential,10927 Eastwood Ave,Inglewood,CA,90304.0,610000,3.0,2.0,1176.0,6160.0,1940.0,579.0,519.0,0.0,SB18121000,33.9363217,-118.3473933,lennox.csv,1,Lennox
7503,2018-03-07,Condo/Co-op,10928 S Osage Ave #2,Inglewood,CA,90304.0,370000,3.0,2.25,1193.0,25423.0,1990.0,686.0,310.0,222.0,SB18021556,33.936245899999996,-118.3455176,inglewood_02_condos.csv,1,Inglewood
5041,2018-03-07,Condo/Co-op,10928 S Osage Ave #2,Inglewood,CA,90304.0,370000,3.0,2.25,1193.0,25423.0,1990.0,686.0,310.0,222.0,SB18021556,33.936245899999996,-118.3455176,lennox.csv,1,Lennox
